timestamp,elapsed_time,FLOW1,CUMULATIVE_FLOW,PRESSURE1,PRESSURE2,PRESSURE3
2024-11-06 11:44:35,0.965046,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:44:36,1.968573,0.0,0.0,0.66,13.12,0.0
2024-11-06 11:44:37,2.971675,0.0,0.0,0.42,13.12,0.0
2024-11-06 11:44:38,3.975417,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:44:39,4.979035,0.0,0.0,0.9,13.12,0.0
2024-11-06 11:44:40,5.982271,0.0,0.0,0.66,13.12,0.0
2024-11-06 11:44:41,6.985314,0.0,0.0,0.42,12.63,0.0
2024-11-06 11:44:42,7.988751,0.0,0.0,0.42,12.88,0.0
2024-11-06 11:44:43,8.992606,0.0,0.0,0.66,13.12,0.0
2024-11-06 11:44:44,9.993022,0.0,0.0,0.66,13.12,0.0
2024-11-06 11:44:45,10.995596,0.0,0.0,0.9,12.63,0.0
2024-11-06 11:44:46,11.999016,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:44:47,13.002641,0.0,0.0,0.66,13.12,0.0
2024-11-06 11:44:48,14.005696,0.0,0.0,0.42,12.88,0.0
2024-11-06 11:44:49,15.006077,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:44:50,16.009515,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:44:51,17.01268,0.0,0.0,0.42,12.88,0.0
2024-11-06 11:44:52,18.015678,0.0,0.0,0.42,12.88,0.0
2024-11-06 11:44:53,19.015334,0.0,0.0,0.66,12.63,0.0
2024-11-06 11:44:54,20.019714,0.0,0.0,0.42,13.12,0.0
2024-11-06 11:44:55,21.022552,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:44:56,22.025458,0.8,0.01,0.66,13.12,0.0
2024-11-06 11:44:57,23.028957,1.2,0.02,0.9,13.12,0.0
2024-11-06 11:44:58,24.032185,1.3,0.04,0.9,13.12,0.0
2024-11-06 11:44:59,25.032685,1.3,0.05,0.66,12.63,0.0
2024-11-06 11:45:00,26.036117,1.3,0.07,0.66,13.12,0.0
2024-11-06 11:45:01,27.038747,1.3,0.08,0.9,12.88,0.0
2024-11-06 11:45:02,28.042194,1.2,0.09,0.42,12.88,0.0
2024-11-06 11:45:03,29.042253,1.2,0.11,0.66,12.63,0.0
2024-11-06 11:45:04,30.046179,1.1,0.12,0.9,13.12,0.0
2024-11-06 11:45:05,31.049069,0.5,0.12,0.9,12.63,0.0
2024-11-06 11:45:06,32.052138,0.0,0.12,0.66,12.88,0.0
2024-11-06 11:45:07,33.05539,0.0,0.12,0.9,12.88,0.0
2024-11-06 11:45:08,34.055881,0.0,0.12,0.66,12.63,0.0
2024-11-06 11:45:09,35.059071,0.0,0.12,0.9,12.88,0.0
2024-11-06 11:45:10,36.062215,0.0,0.12,0.42,12.88,0.0
2024-11-06 11:45:11,37.065442,0.0,0.12,0.9,12.88,0.0
2024-11-06 11:45:12,38.068795,0.0,0.12,0.66,12.88,0.0
2024-11-06 11:45:13,39.072629,0.0,0.12,0.9,12.88,0.0
2024-11-06 11:45:14,40.072965,0.0,0.12,0.9,12.88,0.0
2024-11-06 11:45:15,41.076386,0.0,0.12,0.9,12.88,0.0
2024-11-06 11:45:16,42.079732,0.0,0.12,0.9,12.88,0.0
2024-11-06 11:45:17,43.082967,0.0,0.12,0.66,13.37,0.0
2024-11-06 11:45:18,44.086572,0.0,0.12,0.66,12.88,0.0
2024-11-06 11:45:19,45.089397,0.0,0.12,0.66,13.12,0.0
2024-11-06 11:45:20,46.092843,0.0,0.12,0.66,12.88,0.0
2024-11-06 11:45:21,47.09622,0.0,0.12,0.9,12.88,0.0
2024-11-06 11:45:22,48.099612,0.0,0.12,0.66,13.12,0.0
2024-11-06 11:45:23,49.103461,0.0,0.12,0.66,12.88,0.0
2024-11-06 11:45:24,50.106968,0.0,0.12,0.66,12.88,0.0
2024-11-06 11:45:25,51.110369,0.0,0.12,0.9,13.12,0.0
2024-11-06 11:45:26,52.110309,0.0,0.12,0.9,13.61,0.0
2024-11-06 11:45:27,53.113848,0.0,0.12,0.66,13.37,0.0
2024-11-06 11:45:28,54.117135,0.0,0.12,0.9,13.12,0.0
2024-11-06 11:45:29,55.120214,0.0,0.12,0.9,13.12,0.0
2024-11-06 11:45:30,56.119957,0.0,0.12,0.9,11.9,0.0
2024-11-06 11:45:31,57.123154,0.0,0.12,0.66,13.12,0.0
2024-11-06 11:45:32,58.126637,0.0,0.12,1.15,13.12,0.0
2024-11-06 11:45:33,59.130049,0.0,0.12,0.9,13.61,0.0
2024-11-06 11:45:34,60.133056,0.0,0.12,0.9,14.59,0.0
2024-11-06 11:45:35,61.133908,0.0,0.12,0.66,13.61,0.0
2024-11-06 11:45:36,62.136753,0.0,0.12,0.9,13.12,0.0
2024-11-06 11:45:37,63.14001,0.0,0.12,0.9,13.12,0.0
2024-11-06 11:45:38,64.143385,0.0,0.12,0.66,13.37,0.0
2024-11-06 11:45:39,65.14685,0.0,0.12,0.66,13.61,0.0
2024-11-06 11:45:40,66.147089,0.0,0.12,0.66,13.37,0.0
2024-11-06 11:45:41,67.150276,0.0,0.12,0.9,13.61,0.0
2024-11-06 11:45:42,68.15311,0.0,0.12,0.9,13.61,0.0
2024-11-06 11:45:43,69.156848,0.0,0.12,0.9,13.37,0.0
2024-11-06 11:45:44,70.159674,0.0,0.12,1.15,13.37,0.0
2024-11-06 11:45:45,71.160253,0.0,0.12,0.9,13.37,0.0
2024-11-06 11:45:46,72.163489,0.0,0.12,0.9,13.12,0.0
2024-11-06 11:45:47,73.167021,0.0,0.12,0.9,13.37,0.0
2024-11-06 11:45:48,74.170151,0.0,0.12,1.15,13.37,0.0
2024-11-06 11:45:49,75.17356,0.0,0.12,0.9,13.61,0.0
2024-11-06 11:45:50,76.173334,0.0,0.12,0.9,12.88,0.0
2024-11-06 11:45:51,77.176572,0.0,0.12,0.9,13.37,0.0
2024-11-06 11:45:52,78.179983,0.0,0.12,0.9,13.12,0.0
2024-11-06 11:45:53,79.183763,0.0,0.12,0.9,13.61,0.0
