timestamp,elapsed_time,FLOW1,CUMULATIVE_FLOW,PRESSURE1,PRESSURE2,PRESSURE3
2024-11-06 12:12:29,0.927026,0.0,0.0,0.42,16.06,0.0
2024-11-06 12:12:30,1.930698,0.0,0.0,0.66,16.06,0.0
2024-11-06 12:12:31,2.93436,0.0,0.0,0.66,16.06,0.0
2024-11-06 12:12:32,3.937818,0.0,0.0,0.66,16.06,0.0
2024-11-06 12:12:33,4.940759,0.0,0.0,0.66,16.06,0.0
2024-11-06 12:12:34,5.944154,0.0,0.0,0.66,16.06,0.0
2024-11-06 12:12:35,6.94791,0.0,0.0,0.42,16.06,0.0
2024-11-06 12:12:36,7.950868,0.0,0.0,0.42,16.06,0.0
2024-11-06 12:12:37,8.950562,0.0,0.0,0.66,16.06,0.0
2024-11-06 12:12:38,9.954914,0.0,0.0,0.42,16.06,0.0
2024-11-06 12:12:39,10.957787,0.0,0.0,0.42,16.3,0.0
2024-11-06 12:12:40,11.961287,0.0,0.0,0.9,16.06,0.0
2024-11-06 12:12:41,12.964482,0.0,0.0,0.66,16.06,0.0
2024-11-06 12:12:43,13.967911,0.0,0.0,0.66,16.06,0.0
2024-11-06 12:12:44,14.9676,0.0,0.0,0.42,16.06,0.0
2024-11-06 12:12:45,15.970681,0.0,0.0,0.66,16.06,0.0
2024-11-06 12:12:46,16.974168,0.0,0.0,0.66,16.3,0.0
2024-11-06 12:12:47,17.977313,0.0,0.0,0.42,15.32,0.0
2024-11-06 12:12:48,18.976963,0.0,0.0,0.66,16.3,0.0
2024-11-06 12:12:49,19.980531,0.0,0.0,0.66,16.3,0.0
2024-11-06 12:12:50,20.983966,0.0,0.0,0.42,16.3,0.0
2024-11-06 12:12:51,21.987206,0.0,0.0,0.66,16.06,0.0
2024-11-06 12:12:52,22.99091,0.0,0.0,0.42,16.06,0.0
2024-11-06 12:12:53,23.991254,0.0,0.0,0.66,16.06,0.0
2024-11-06 12:12:54,24.994152,0.0,0.0,0.66,16.06,0.0
2024-11-06 12:12:55,25.997251,0.0,0.0,0.42,16.3,0.0
2024-11-06 12:12:56,27.000884,0.0,0.0,0.66,16.06,0.0
2024-11-06 12:12:57,28.003886,0.0,0.0,0.42,16.06,0.0
2024-11-06 12:12:58,29.003681,0.0,0.0,0.66,16.3,0.0
2024-11-06 12:12:59,30.007194,0.0,0.0,0.66,16.54,0.0
2024-11-06 12:13:00,31.010635,0.0,0.0,0.66,16.3,0.0
2024-11-06 12:13:01,32.014061,0.0,0.0,0.66,16.3,0.0
2024-11-06 12:13:02,33.013921,0.0,0.0,0.42,16.54,0.0
2024-11-06 12:13:03,34.017422,0.0,0.0,0.66,16.54,0.0
2024-11-06 12:13:04,35.020627,0.0,0.0,0.66,16.54,0.0
2024-11-06 12:13:05,36.024295,0.0,0.0,0.66,16.54,0.0
2024-11-06 12:13:06,37.027643,0.0,0.0,0.66,16.54,0.0
2024-11-06 12:13:07,38.030589,0.0,0.0,0.66,16.54,0.0
2024-11-06 12:13:08,39.033818,0.0,0.0,0.42,16.3,0.0
2024-11-06 12:13:09,40.037775,0.0,0.0,0.42,16.3,0.0
2024-11-06 12:13:10,41.040827,0.0,0.0,0.42,16.3,0.0
2024-11-06 12:13:11,42.040967,0.0,0.0,0.42,16.54,0.0
2024-11-06 12:13:12,43.044393,0.0,0.0,0.42,16.54,0.0
2024-11-06 12:13:13,44.048308,0.0,0.0,0.42,16.54,0.0
